Tag,Symbols
a,1328503
column,1
div,285720
h2,83153
h3,67745
p,509412
script,5998765
span,488877
style,6202183
text,56
title,28945
u,417
h1,23325
h5,16402
h6,11622
label,11989
button,8678
h4,60304
li,81767
textarea,14
ul,1472
figcaption,8514
option,80566
acronym,17
td,25205
nav,2
tr,3
center,528
time,23427
path,88
tbody,2
header,628
summary,313
section,123
video,60
var,17
cite,554
s,241
th,1417
iframe,264
legend,127
b,619
abbr,286
quote,839
strong,1034
font,6268
em,107
map,3
amp-fit-text,1128
template,24
strike,64
tspan,5
small,212
dd,4304
dt,1087
i,77
body,13
head,12
sup,10
footer,166
use,1
noscript,3821
source,5
defs,1
big,18
date,155
q,1679
address,127
figure,1
select,8
form,1
desc,314
aside,1
blockquote,236
a-img,6
a-video,3
pre,107
ng-pluralize,1
bdo,58
btn,36
spann,12
nobr,55
optgroup,1
quickcategories,1
